Block,AccInc,AccTemp,ZspCountGoPro,StartingQuantityZsp,AvgHOBOTemp,CurrentAccTemp,StartTemp,CurrentHOBOTemp,StartTime,50Temp,50Time,100Temp,100Time,Observer,Partner,DateObserved,DateInoculated,DateAcclimated,RoomTemp,MinutesTo50,MinutesTo100,HeatingRateTo100PerMinute,InitialPercentMoving,Tryptone,Agar,Notes
G,3,9,44,200,8.917739726,4.1,21.1,,12:35,24.8,12:36,33.3,12:46,Vanessa Six,Hunter Craig,6/15/2023,6/8/2023,6/12/2023,23.4,1.00,11.00,1.109090909,0.95,New,New,
G,6,16.5,100,400,17.89610959,16.8,21.2,,12:57,26.8,13:01,33.3,13:08,Vanessa Six,Hunter Craig,6/15/2023,6/8/2023,6/12/2023,23.4,4.00,11.00,1.1,0.96,New,New,
G,2,16.5,115,500,16.47653741,15.7,19.6,16.427,13:19,25.6,13:22,32.9,13:32,Vanessa Six,Hunter Craig,6/15/2023,6/8/2023,6/12/2023,23.4,3.00,13.00,1.023076923,0.98,New,New,
H,6,16.5,323,500,17.5924863,16.7,20.3,,12:38,30.1,12:44,32.9,12:52,James Noelker,Hunter Craig,6/19/2023,6/12/2023,6/16/2023,21.8,6.00,14.00,0.9,0.95,New,New,
H,4,9,99,200,9.473238095,5.9,21.4,,13:01,31.6,13:04,35.3,13:06,James Noelker,Hunter Craig,6/19/2023,6/12/2023,6/16/2023,21.8,3.00,5.00,2.78,0.8,New,New,
H,3,9,83,200,8.325014,9.4,15.8,,13:23,30.7,13:28,33.7,13:32,James Noelker,Hunter Craig,6/19/2023,6/12/2023,6/16/2023,21.8,5.00,9.00,1.988888889,0.5,New,New,
I,3,9,48,100,8.429,2.7,19.9,,11:15,22.9,11:17,26.3,11:19,Vanessa Six,Hunter Craig,6/22/2023,6/15/2023,6/19/2023,19.3,2.00,4.00,1.6,0.96,New,New,
I,1,24,84,200,24.16290278,24.2,20.6,24.062,11:39,25.8,11:41,35.4,11:57,Vanessa Six,Hunter Craig,6/22/2023,6/15/2023,6/19/2023,19.3,2.00,18.00,0.822222222,0.98,New,New,
I,6,16.5,132,400,17.01302,16.3,20.7,,12:04,29.5,12:06,36.6,12:18,Vanessa Six,Hunter Craig,6/22/2023,6/15/2023,6/19/2023,19.3,2.00,14.00,1.135714286,0.93,New,New,
I,4,9,109,350,9.566014,13.2,18.9,,12:28,24.7,12:30,35.5,12:42,Vanessa Six,Hunter Craig,6/22/2023,6/15/2023,6/19/2023,19.3,2.00,14.00,1.185714286,0.95,New,New,
J,5,24,,250,23.92363,23.7,19.8,23.677,12:25,24.9,12:29,32.1,12:38,Declan McCrary,Hunter Craig,7/27/2023,7/20/2023,7/24/2023,19.9,4.00,13.00,0.946153846,0.95,New,New,
J,2,16.5,526,700,15.60343836,16.2,21.9,15.569,12:43,28.2,12:46,36.6,12:59,Declan McCrary,Hunter Craig,7/27/2023,7/20/2023,7/24/2023,19.9,3.00,16.00,0.91875,0.95,New,New,
J,4,9,86,100,9.209388,13.1,18.5,9.571,13:09,24,13:10,26.8,13:12,Declan McCrary,Hunter Craig,7/27/2023,7/20/2023,7/24/2023,19.9,1.00,3.00,2.766666667,0.8,New,New,
